2026-07-07T21:39:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.pl' registered successfully. | context={"prefixed_key": "default:greeting.pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T21:39:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.en' registered successfully. | context={"prefixed_key": "default:greeting.en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | Service 'default:dup' registered successfully. | context={"prefixed_key": "default:dup", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T21:57:48+0200 | WARNING | LIGO.ligo.registry | Service 'default:dup' is already registered. | context={"prefixed_key": "default:dup"}
2026-07-07T21:57:48+0200 | WARNING | LIGO.ligo.registry | Service 'default:nonexistent' is not registered. | context={"prefixed_key": "default:nonexistent"}
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | Service 'default:x' registered successfully. | context={"prefixed_key": "default:x", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | Service 'default:pl' registered successfully. | context={"prefixed_key": "default:pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | Service 'default:en' registered successfully. | context={"prefixed_key": "default:en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | Service 'default:greet.test' registered successfully. | context={"prefixed_key": "default:greet.test", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.pl' registered successfully. | context={"prefixed_key": "default:greeting.pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T21:57:48+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.en' registered successfully. | context={"prefixed_key": "default:greeting.en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | Service 'default:dup' registered successfully. | context={"prefixed_key": "default:dup", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:01:27+0200 | WARNING | LIGO.ligo.registry | Service 'default:dup' is already registered. | context={"prefixed_key": "default:dup"}
2026-07-07T22:01:27+0200 | WARNING | LIGO.ligo.registry | Service 'default:nonexistent' is not registered. | context={"prefixed_key": "default:nonexistent"}
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | Service 'default:x' registered successfully. | context={"prefixed_key": "default:x", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | Service 'default:pl' registered successfully. | context={"prefixed_key": "default:pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | Service 'default:en' registered successfully. | context={"prefixed_key": "default:en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | Service 'default:greet.test' registered successfully. | context={"prefixed_key": "default:greet.test", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.pl' registered successfully. | context={"prefixed_key": "default:greeting.pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:01:27+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.en' registered successfully. | context={"prefixed_key": "default:greeting.en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T22:01:37+0200 | INFO  | LIGO.ligo.registry | Registry snapshot saved: C:\Users\Endorfinka\Desktop\ZBIERACZ KODU\Ligo\_projects\snapshots\LIGO_REGISTRY_SNAPSHOT_default.json | context={"filepath": "C:\\Users\\Endorfinka\\Desktop\\ZBIERACZ KODU\\Ligo\\_projects\\snapshots\\LIGO_REGISTRY_SNAPSHOT_default.json"}
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:dup' registered successfully. | context={"prefixed_key": "default:dup", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:03:10+0200 | WARNING | LIGO.ligo.registry | Service 'default:dup' is already registered. | context={"prefixed_key": "default:dup"}
2026-07-07T22:03:10+0200 | WARNING | LIGO.ligo.registry | Service 'default:nonexistent' is not registered. | context={"prefixed_key": "default:nonexistent"}
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:x' registered successfully. | context={"prefixed_key": "default:x", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:pl' registered successfully. | context={"prefixed_key": "default:pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:en' registered successfully. | context={"prefixed_key": "default:en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:greet.test' registered successfully. | context={"prefixed_key": "default:greet.test", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.pl' registered successfully. | context={"prefixed_key": "default:greeting.pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:03:10+0200 | INFO  | LIGO.ligo.registry | Service 'default:greeting.en' registered successfully. | context={"prefixed_key": "default:greeting.en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T22:06:35+0200 | INFO  | LIGO.ligo.registry | Service 'default:dup' registered successfully. | context={"prefixed_key": "default:dup", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:06:35+0200 | WARNING | LIGO.ligo.registry | Service 'default:dup' is already registered. | context={"prefixed_key": "default:dup"}
2026-07-07T22:06:35+0200 | WARNING | LIGO.ligo.registry | Service 'default:nonexistent' is not registered. | context={"prefixed_key": "default:nonexistent"}
2026-07-07T22:06:35+0200 | INFO  | LIGO.ligo.registry | Service 'default:x' registered successfully. | context={"prefixed_key": "default:x", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:06:35+0200 | INFO  | LIGO.ligo.registry | Service 'default:pl' registered successfully. | context={"prefixed_key": "default:pl", "class_name": "PolishGreetingService", "project_id": "default"}
2026-07-07T22:06:35+0200 | INFO  | LIGO.ligo.registry | Service 'default:en' registered successfully. | context={"prefixed_key": "default:en", "class_name": "EnglishGreetingService", "project_id": "default"}
2026-07-07T22:06:35+0200 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-07T22:06:35+0200 | INFO  | LIGO.ligo.registry | Service 'default:greet.test' registered successfully. | context={"prefixed_key": "default:greet.test", "class_name": "PolishGreetingService", "project_id": "default"}
